text,label,source,combined
Bóng đá là môn thể thao phổ biến.,Thể thao,Website,Bóng đá là môn thể thao phổ biến. Website
Cúp World Cup diễn ra bốn năm một lần.,Thể thao,Website,Cúp World Cup diễn ra bốn năm một lần. Website
Phim mới ra mắt rất thú vị.,Giải trí,Báo,Phim mới ra mắt rất thú vị. Báo
Sân khấu kịch sẽ có nhiều vở mới.,Giải trí,Báo,Sân khấu kịch sẽ có nhiều vở mới. Báo
Đua xe là môn thể thao mạo hiểm.,Thể thao,Tạp chí,Đua xe là môn thể thao mạo hiểm. Tạp chí
Nhạc rock luôn có một lượng fan đông đảo.,Giải trí,Website,Nhạc rock luôn có một lượng fan đông đảo. Website
Bóng rổ là một môn thể thao hấp dẫn.,Thể thao,Tạp chí,Bóng rổ là một môn thể thao hấp dẫn. Tạp chí
Phim hoạt hình rất được yêu thích.,Giải trí,Website,Phim hoạt hình rất được yêu thích. Website
Cầu lông là môn thể thao thú vị.,Thể thao,Website,Cầu lông là môn thể thao thú vị. Website
Chương trình truyền hình này rất vui.,Giải trí,Báo,Chương trình truyền hình này rất vui. Báo
Đá bóng là một sở thích phổ biến.,Thể thao,Tạp chí,Đá bóng là một sở thích phổ biến. Tạp chí
Hài kịch mang lại nhiều tiếng cười.,Giải trí,Báo,Hài kịch mang lại nhiều tiếng cười. Báo
Xem bóng đá là phổ biến.,Thể thao,Website,Xem bóng đá là phổ biến. Website
Bóng đá là sở thích.,Thể thao,Tạp chí,Bóng đá là sở thích. Tạp chí
Đá cầu là môn thể thao truyền thống.,Thể thao,Website,Đá cầu là môn thể thao truyền thống. Website
Giải đua xe công thức 1 rất kịch tính.,Thể thao,Website,Giải đua xe công thức 1 rất kịch tính. Website
Bộ phim này có nhiều cảnh hành động.,Giải trí,Báo,Bộ phim này có nhiều cảnh hành động. Báo
Nhạc pop đang trở thành xu hướng hiện nay.,Giải trí,Báo,Nhạc pop đang trở thành xu hướng hiện nay. Báo
Vở kịch này đã nhận được nhiều giải thưởng.,Giải trí,Tạp chí,Vở kịch này đã nhận được nhiều giải thưởng. Tạp chí
Chương trình ca nhạc có nhiều tiết mục đặc sắc.,Giải trí,Báo,Chương trình ca nhạc có nhiều tiết mục đặc sắc. Báo
Xem bóng chuyền rất thú vị.,Thể thao,Website,Xem bóng chuyền rất thú vị. Website
